state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_name_local,subdistrict_census2011_code,last_updated
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,17,Hamirpur,"HAMIRPUR                                          ",028,7413,Jahu,Jahu,00000,2024-10-07
10,Bihar,"BIHAR                                             ",10,206,Madhubani,मधुबनी,207,1083,Jainagar,जयनगर,01083,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,102,Jaipur,"JAIPUR                                            ",110,546,Jaipur,,00546,2024-10-07
5,Uttarakhand,UTTARAKHAND,05,52,"Pauri Garhwal","PAURI GARHWAL                                     ",061,6373,Jakhanikhal,,00000,2024-10-07
36,Telangana,తెలంగాణ,00,516,Nizamabad,నిజామాబాదు,533,4366,Jakranpally,"జక్రాన్ పల్లి",04366,2024-10-07
20,Jharkhand,झारखंड,20,342,Simdega,सिमडेगा,367,2725,Jaldega,,02725,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,138,Etah,"ETAH                                              ",201,1009,Jalesar,,01009,2024-10-07
21,Odisha,ODISHA,21,346,Baleshwar,"BALESHWAR                                         ",377,2890,Jaleswar,,02890,2024-10-07
27,Maharashtra,महाराष्ट्र,27,478,Jalgaon,जळगाव,499,3966,Jalgaon,जळगाव,03966,2024-10-07
27,Maharashtra,महाराष्ट्र,27,481,Latur,लातूर,524,4229,Jalkot,जलकोट,04229,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,314,Jalpaiguri,"JALPAIGURI                                        ",328,2178,Jalpaiguri,,02178,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,783,"Jaipur (Gramin)","जयपुर (ग्रामीण)",NA,7379,Jalsu,जालसू,00000,2024-10-07
20,Jharkhand,झारखंड,20,326,Dumka,दुमका,362,2674,Jama,,02674,2024-10-07
28,"Andhra Pradesh","ANDHRA PRADESH                                    ",28,521,Vizianagaram,"VIZIANAGARAM                                      ",543,4835,Jami,,04835,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,447,Jamnagar,"JAMNAGAR                                          ",477,3814,"Jamnagar Rural",,03814,2024-10-07
16,Tripura,ত্রিপুরা,16,653,Sepahijala,সিপাহিজলা,000,6677,Jampuijala,জম্পুইজলা,00000,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,181,Shrawasti,SHRAWASTI,181,6164,Jamunaha,,00000,2024-10-07
33,"Tamil Nadu","TAMIL NADU                                        ",33,593,Tiruvannamalai,"TIRUVANNAMALAI                                    ",606,6631,Jamunamarathoor,ஜமுனாமரத்தூர்,00000,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,704,"Paschim Bardhaman","PASCHIM BARDHAMAN",000,2270,Jamuria,,02270,2024-10-07
10,Bihar,"BIHAR                                             ",10,224,Vaishali,वैशाली,220,1276,Jandaha,जन्दाहा,01276,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,312,Hooghly,"HOOGHLY                                           ",338,2353,Jangipara,,02353,2024-10-07
36,Telangana,తెలంగాణ,00,689,Jangoan,జనగాం,000,4699,Jangoan,ఙనగామ,04699,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,457,Rajkot,"RAJKOT                                            ",476,3806,Jasdan,,03806,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22,380,Jashpur,जशपुर,402,3257,Jashpur,जशपुर,03257,2024-10-07
27,Maharashtra,महाराष्ट्र,27,493,Sangli,सांगली,531,4304,Jat,जत,04304,2024-10-07
23,"Madhya Pradesh","MADHYA PRADESH                                    ",23,424,Rewa,रीवा,430,3472,Jawa,जवा,03472,2024-10-07
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,18,Kangra,"KANGRA                                            ",024,104,Jawalamukhi,,00104,2024-10-07
2,"Himachal Pradesh","HIMACHAL PRADESH                                  ",02,18,Kangra,"KANGRA                                            ",024,96,Jawali,,00096,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,304,"South 24 Parganas","SOUTH 24 Parganas",343,2431,"Jaynagar - I",,02431,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,457,Rajkot,"RAJKOT                                            ",476,3811,Jetpur,,03811,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,668,Chhotaudepur,CHHOTAUDEPUR,000,3900,"Jetpur Pavi",,03900,2024-10-07
9,"Uttar Pradesh","UTTAR PRADESH                                     ",09,144,"Gautam Buddha Nagar","GAUTAM BUDDHA NAGAR                               ",141,744,Jewar,,00744,2024-10-07
10,Bihar,"BIHAR                                             ",10,198,Jamui,जमुई,238,1530,Jhajha,झाझा,01530,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,777,Salumbar,सलूम्‍बर,NA,7229,Jhallara,झल्लारा,00000,2024-10-07
19,"West Bengal","WEST BENGAL                                       ",19,703,Jhargram,Jhargram,000,2454,Jhargram,,02454,2024-10-07
21,Odisha,ODISHA,21,366,Nabarangpur,"NABARANGPUR                                       ",397,3191,Jharigan,,03191,2024-10-07
5,Uttarakhand,UTTARAKHAND,05,47,Chamoli,"CHAMOLI                                           ",057,6346,Jilasu,,00000,2024-10-07
8,Rajasthan,"RAJASTHAN                                         ",08,783,"Jaipur (Gramin)","जयपुर (ग्रामीण)",NA,7141,Jobner,जोबनेर,00000,2024-10-07
24,Gujarat,"GUJARAT                                           ",24,447,Jamnagar,"JAMNAGAR                                          ",477,3815,Jodiya,,03815,2024-10-07
10,Bihar,"BIHAR                                             ",10,188,Araria,अररिया,209,1120,Jokihat,जोकीहाट,01120,2024-10-07
